,lines
17852,The sun went down and it began to be twilight.
17853,When it was almost dark Tirian heard a light pitter-patter of feet and saw some small creatures coming towards him.
17854,"The three on the left were Mice, and there was a Rabbit in the middle: on the right were two Moles."
17855,Both these were carrying little bags on their backs which gave them a curious look in the dark so that at first he wondered what kind of beasts they were.
17856,"Then, in a moment, they were all standing up on their hind legs, laying their cool paws on his knees and giving his knees snuffly animal kisses."
17857,(They could reach his knees because Narnian Talking Beasts of that sort are bigger than the dumb beasts of the same kind in England.
17858,")  Lord King! dear Lord King, said their shrill voices, we are so sorry for you."
17859,We daren't untie you because Aslan might be angry with us.
17860,But we've brought you your supper.
17861,At once the first Mouse climbed nimbly up till he was perched on the rope that bound Tirian's chest and was wrinkling his blunt nose in front of Tirian's face.
17862,Then the second Mouse climbed up and hung on just below the first Mouse.
17863,The other beasts stood on the ground and began handing things up.
17864,"Drink, Sire, and then you'll find you are able to eat, said the topmost Mouse, and Tirian found that a little wooden cup was being held to his lips."
17865,It was only the size of an egg cup so that he had hardly tasted the wine in it before it was empty.
17866,But then the Mouse passed it down and the others re-filled it and it was passed up again and Tirian emptied it a second time.
17867,"In this way they went on till he had quite a good drink, which was all the better for coming in little doses, for that is more thirst-quenching than one long draught."
17868,"Here is cheese, Sire, said the first Mouse, but not very much, for fear it would make you too thirsty."
17869,"And after the cheese they fed him with oat-cakes and fresh butter, and then with some more wine."
17870,"Now hand up the water, said the first Mouse, and I'll wash the King's face."
17871,There is blood on it.
17872,"Then Tirian felt something like a tiny sponge dabbing his face, and it was most refreshing."
17873,"Little friends, said Tirian, how can I thank you for all this?  You needn't, you needn't, said the little voices."
17874,What else could we do? We don't want any other King.
17875,We're your people.
17876,If it was only the Ape and the Calormenes who were against you we would have fought till we were cut into pieces before we'd let them tie you up.
17877,"We would, we would indeed."
17878,But we can't go against Aslan.
17879,Do you think it really is Aslan? asked the King.
17880,"Oh yes, yes, said the Rabbit."
17881,He came out of the stable last night.
17882,We all saw him.
17883,What was he like? said the King.
17884,"Like a terrible, great Lion, to be sure, said one of the Mice."
17885,"And you think it is really Aslan who is killing the Wood-Nymphs and making you all slaves to the King of Calormen?  Ah, that's bad, isn't it? said the second Mouse."
17886,It would have been better if we'd died before all this began.
17887,But there's no doubt about it.
17888,Everyone says it is Aslan's orders.
17889,And we've seen him.
17890,We didn't think Aslan would be like that.
17891,"Why, we - we wanted him to come back to Narnia."
17892,"He seems to have come back very angry this time, said the first Mouse."
17893,We must all have done something dreadfully wrong without knowing it.
17894,He must be punishing us for something.
17895,"But I do think we might be told what it was!  I suppose what we're doing now may be wrong, said the Rabbit."
17896,"I don't care if it is, said one of the Moles."
17897,I'd do it again.
17898,"But the others said, Oh hush, and Do be careful, and then they all said, We're sorry, dear King, but we must go back now."
17899,It would never do for us to be caught here.
17900,"Leave me at once, dear Beasts, said Tirian."
17901,I would not for all Narnia bring any of you into danger.
17902,"Goodnight, goodnight, said the Beasts, rubbing their noses against his knees."
17903,We will come back - if we can.
17904,Then they all pattered away and the wood seemed darker and colder and lonelier than it had been before they came.
17905,The stars came out and time went slowly on - imagine how slowly - while that last King of Narnia stood stiff and sore and upright against the tree in his bonds.
17906,But at last something happened.
17907,Far away there appeared a red light.
17908,"Then it disappeared for a moment and came back again, bigger and stronger."
17909,Then he could see dark shapes going to and fro on this side of the light and carrying bundles and throwing them down.
17910,He knew now what he was looking at.
17911,"It was a bonfire, newly lit, and people were throwing bundles of brushwood on to it."
17912,Presently it blazed up and Tirian could see that it was on the very top of the hill.
17913,"He could see quite clearly the stable behind it, all lit up in the red glow, and a great crowd of Beasts and Men between the fire and himself."
17914,"A small figure, hunched up beside the fire, must be the Ape."
17915,"It was saying something to the crowd, but he could not hear what."
17916,Then it went and bowed three times to the ground in front of the door of the stable.
17917,Then it got up and opened the door.
17918,And something on four legs - something that walked rather stiffly - came out of the stable and stood facing the crowd.
17919,"A great wailing or howling went up, so loud that Tirian could hear some of the words."
17920,Aslan! Aslan! Aslan! cried the Beasts.
17921,Speak to us.
17922,Comfort us.
17923,Be angry with us no more.
17924,From where Tirian was he could not make out very clearly what the thing was; but he could see that it was yellow and hairy.
17925,He had never seen the Great Lion.
17926,He had never seen a common lion.
17927,He couldn't be sure that what he saw was not the real Aslan.
17928,He had not expected Aslan to look like that stiff thing which stood and said nothing.
17929,But how could one be sure? For a moment horrible thoughts went through his mind: then he remembered the nonsense about Tash and Aslan being the same and knew that the whole thing must be a cheat.
17930,The Ape put his head close up to the yellow thing's head as if he were listening to something it was whispering to him.
